epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,164.072,1.46706,1.71269,1.77601,0.00326,0.00455,0.00128,0.00036,3.86913,14.6565,3.86349,0.000660714,0.000660714,0.000660714
2,325.162,1.23223,1.1817,1.56592,0.00082,0.00455,0.00055,0.00011,4.27437,8.98074,4.071,0.00123977,0.00123977,0.00123977
3,484.69,1.20445,1.11369,1.53099,0.00039,0.10909,0.00022,4e-05,4.44518,9.26727,4.07985,0.00173083,0.00173083,0.00173083
4,652.605,1.1777,1.0261,1.49258,0.00563,0.08182,0.00214,0.00059,3.6661,7.21019,3.23445,0.001604,0.001604,0.001604
5,830.771,1.11229,0.94339,1.44258,0.00076,0.16364,0.00046,9e-05,4.20246,9.76664,3.87487,0.001472,0.001472,0.001472
6,997.734,0.68862,0.71395,1.29167,0.0019,0.33636,0.00136,0.00039,3.83786,7.69075,3.29294,0.00134,0.00134,0.00134
7,1158.88,0.56859,0.46385,1.20148,0.00354,0.00455,0.00093,0.00024,3.75295,5.50299,3.25748,0.001208,0.001208,0.001208
8,3535.21,0.52858,0.38463,1.1834,0.00482,0.01364,0.00071,0.00018,3.68129,5.13511,3.18564,0.001076,0.001076,0.001076
9,3710.13,0.50909,0.33737,1.16278,0.00483,0.02727,0.0006,0.00014,4.03571,5.34107,3.24733,0.000944,0.000944,0.000944
10,3878.51,0.50877,0.30954,1.17118,0.00182,0.00455,0.00024,4e-05,3.71542,5.44725,3.2213,0.000812,0.000812,0.000812
11,4047.74,0.47716,0.2964,1.13671,8e-05,0.00455,4e-05,0,3.69832,5.56171,3.20475,0.00068,0.00068,0.00068
12,4217.9,0.47762,0.27608,1.13579,0.01972,0.00455,0.00057,7e-05,3.81095,5.26245,3.24228,0.000548,0.000548,0.000548
13,4386.71,0.47304,0.26572,1.13599,0.01656,0.00909,0.00089,0.00014,3.69288,5.44999,3.19668,0.000416,0.000416,0.000416
14,4556.96,0.46235,0.26211,1.10879,0.01541,0.00909,0.00129,0.00015,3.74984,5.21861,3.18055,0.000284,0.000284,0.000284
15,4725.98,0.43516,0.2404,1.10249,0.01477,0.00909,0.00055,8e-05,3.79426,5.23591,3.2121,0.000152,0.000152,0.000152
